x,y
1022,457
1020,458
1016,455
1021,459
1007,469
1002,465
1001,465
1032,456
1009,466
1006,468
1000,471
993,471
992,470
991,466
987,464
981,461
976,459
969,457
954,459
948,459
942,458
929,458
971,291
971,291
974,285
883,454
873,452
864,451
851,450
839,452
832,454
974,284
904,267
899,270
899,269
901,266
900,269
900,270
720,460
980,409
698,465
680,461
968,299
963,307
654,464
650,470
649,467
653,470
656,470
659,472
661,471
672,478
677,479
683,481
967,298
698,481
708,480
716,477
733,477
746,481
757,486
770,493
780,495
788,502
800,517
816,524
823,531
830,545
838,552
844,556
850,563
854,578
858,590
858,610
861,629
863,640
864,657
902,576
864,703
865,715
865,726
864,743
865,755
862,771
859,785
858,799
850,815
844,829
833,847
829,858
822,871
817,880
810,887
800,895
791,904
780,912
768,920
758,925
748,928
737,928
717,927
708,928
692,930
683,933
669,935
660,935
646,930
636,928
627,927
615,927
597,924
589,921
579,918
571,913
560,908
550,908
538,907
529,902
517,898
510,897
505,895
498,895
493,894
486,892
479,890
479,886
478,883
477,881
477,879
470,881
466,882
452,891
454,892
462,890
472,887
480,885
491,884
491,887
497,893
502,894
508,895
519,901
526,899
532,902
542,906
554,911
562,914
576,922
584,923
601,927
604,926
609,930
617,938
638,936
653,934
666,936
677,935
684,936
688,942
694,944
705,941
717,936
741,931
754,920
761,917
771,914
781,902
796,879
802,872
808,865
812,851
816,844
819,838
824,834
827,820
829,809
833,794
834,780
834,768
837,752
841,735
843,714
845,701
842,685
843,674
844,660
839,637
834,620
833,605
830,596
827,587
825,578
818,566
815,553
812,539
802,531
796,524
790,517
782,508
774,501
767,494
757,489
749,486
744,485
738,484
732,482
723,481
715,480
697,483
685,481
677,480
668,481
662,481
655,479
648,476
641,477
633,478
628,476
627,473
627,474
628,470
625,468
626,468
632,470
636,468
645,469
651,469
657,470
664,470
672,469
690,471
699,469
713,469
727,464
738,465
746,469
759,466
771,463
780,464
793,467
807,465
819,467
826,466
834,465
843,466
857,464
873,461
879,461
885,461
892,460
902,459
910,457
921,449
933,443
970,297
945,454
952,453
958,316
966,303
978,455
985,459
994,462
1001,464
1012,458
1004,442
1002,441
989,303
999,383
1008,434
959,383
979,423
976,426
981,416
977,421
973,428
971,429
993,479
975,425
973,428
977,424
974,429
976,424
982,416
995,471
1021,470
1018,471
1004,476
1000,477
995,478
994,476
992,475
983,476
981,473
987,463
988,459
985,457
976,462
962,460
956,460
953,460
973,288
971,290
974,284
915,467
901,459
892,457
884,458
875,456
860,459
852,459
838,460
842,456
959,310
963,304
968,295
972,289
780,453
763,453
903,269
901,270
733,458
984,409
712,459
694,460
687,462
681,463
671,463
662,469
653,465
645,468
641,472
643,477
644,478
645,481
647,484
652,482
654,480
658,477
662,474
674,477
679,477
686,478
692,478
705,481
711,480
723,475
737,480
754,480
770,485
782,501
794,508
805,521
817,543
830,554
839,567
845,586
850,596
853,605
858,626
858,638
857,657
902,572
853,701
857,720
857,739
859,754
857,769
852,784
848,800
840,821
833,836
828,849
818,860
815,870
807,877
802,887
795,895
777,911
772,919
766,924
751,927
742,931
731,936
724,937
714,937
697,938
687,938
673,935
663,935
654,937
643,938
628,936
618,931
609,926
594,925
586,923
576,922
563,919
551,913
545,911
539,909
528,908
516,906
511,902
504,898
503,896
496,895
490,894
483,889
481,884
481,882
479,880
475,879
472,879
472,877
470,876
457,882
445,893
449,892
454,892
463,888
474,886
491,883
489,888
487,891
495,897
503,897
508,897
520,906
526,908
533,907
539,910
551,916
557,919
573,925
581,927
589,927
599,930
601,931
616,936
630,937
648,935
657,935
671,935
681,932
686,934
693,936
707,932
723,926
736,919
762,911
782,889
793,875
803,870
812,863
816,856
820,849
822,837
828,831
831,816
835,803
835,793
835,782
837,763
836,746
839,729
841,715
837,697
838,686
837,670
834,652
829,635
825,625
820,607
818,594
812,579
806,564
801,552
790,539
784,528
778,521
769,514
753,504
745,497
740,494
736,492
731,491
723,492
713,488
694,489
688,489
681,489
672,488
663,486
654,484
645,481
633,468
643,481
640,478
640,472
643,471
645,470
649,470
656,472
675,476
677,475
680,471
698,470
702,469
706,468
723,464
735,462
754,457
765,461
776,464
789,461
804,463
814,462
826,460
839,462
849,463
860,461
877,459
886,460
895,461
902,461
910,461
928,450
938,447
947,446
968,302
963,455
967,456
977,452
988,453
941,429
1008,465
1015,464
1029,455
1008,441
984,396
985,395
987,393
996,380
996,380
998,380
998,381
997,386
992,395
988,409
986,414
980,423
978,426
975,431
991,475
988,472
982,417
986,452
973,443
976,429
955,438
981,414
989,463
985,470
990,465
982,465
981,462
976,461
959,461
953,464
947,463
936,462
974,289
968,297
967,297
974,285
878,460
868,459
854,459
847,460
841,461
969,293
962,307
816,448
952,328
969,294
756,456
747,457
734,463
724,466
708,470
697,467
684,462
671,462
663,462
660,467
656,471
658,469
659,467
668,461
670,462
672,462
678,466
902,267
693,467
699,466
707,465
724,463
734,465
747,465
758,470
771,479
781,483
791,493
802,498
815,505
823,512
830,524
839,541
846,548
852,556
852,576
855,588
858,602
860,627
863,635
865,651
863,670
856,701
857,719
860,730
860,742
855,761
850,777
841,798
909,745
821,835
817,847
805,863
797,874
789,883
780,892
769,900
759,906
748,912
734,919
716,922
708,924
696,927
685,933
672,937
662,935
652,933
637,932
627,931
617,930
599,926
592,924
585,923
574,917
563,913
548,913
541,911
533,908
523,904
517,902
512,899
505,895
500,893
492,889
488,883
487,881
485,880
481,878
480,879
456,893
469,881
470,881
467,883
462,887
460,891
464,891
466,892
475,889
480,889
483,890
491,892
497,891
506,890
513,890
520,893
533,897
539,900
552,902
558,904
570,909
589,912
596,914
600,915
613,919
624,925
638,925
656,921
663,922
673,923
684,926
694,927
705,930
718,928
736,917
750,912
767,909
788,885
798,880
805,871
809,852
817,847
823,837
829,829
838,811
843,801
844,783
846,769
847,758
848,742
847,716
847,702
847,689
844,672
843,662
842,650
840,637
835,615
833,602
828,591
823,582
819,574
800,470
806,550
802,541
796,532
785,522
774,515
765,509
754,504
745,502
738,497
730,494
722,496
707,495
692,496
686,494
674,491
666,492
656,489
649,490
643,485
630,462
629,464
641,479
641,475
642,471
654,477
660,477
666,477
673,476
692,475
698,473
705,470
725,468
733,464
743,462
752,463
763,459
771,462
784,460
798,456
808,456
820,458
828,457
837,456
848,454
864,453
876,453
884,455
890,455
900,453
910,449
922,443
930,441
966,305
973,293
952,451
964,449
972,295
980,455
986,457
992,457
997,456
1002,445
1001,445
997,427
1005,427
1012,421
999,395
991,417
986,427
985,428
956,317
989,421
987,410
982,420
1025,469
1023,466
987,423
973,445
975,438
971,293
974,425
978,425
998,454
995,459
998,464
978,464
985,466
981,467
968,462
960,462
954,462
948,460
933,462
923,463
918,463
908,460
896,457
887,456
878,457
970,293
852,455
847,456
849,455
968,301
968,299
809,451
974,288
770,457
757,456
750,456
739,456
727,460
711,468
699,468
688,468
679,469
668,466
656,463
651,468
649,465
645,462
644,462
968,298
976,286
967,299
961,307
666,471
669,472
674,471
688,466
692,461
697,458
709,455
722,462
733,466
743,472
750,474
761,484
772,490
784,495
793,510
801,521
808,537
813,544
819,553
823,573
830,587
833,601
837,627
839,638
841,654
843,668
844,691
845,706
845,725
845,740
844,752
840,772
835,791
833,806
881,730
818,836
815,849
809,863
796,876
791,886
783,897
773,905
765,911
753,916
754,864
719,926
713,928
699,931
688,934
674,937
664,936
649,932
637,932
626,933
609,927
599,925
588,923
580,920
568,912
557,909
547,909
536,909
526,900
518,899
513,896
506,896
505,894
495,892
488,885
485,882
482,880
479,878
476,878
476,875
475,873
464,878
448,888
447,891
459,889
468,886
475,885
479,886
480,888
479,891
482,895
495,896
501,896
509,897
520,900
525,903
536,905
553,908
564,910
575,916
584,919
598,926
601,923
612,927
629,930
644,930
659,928
666,928
676,935
691,931
700,930
710,927
728,920
756,915
770,910
790,878
797,870
802,864
808,861
813,852
819,842
823,832
825,816
829,802
830,792
832,777
835,758
836,743
838,726
835,705
834,693
835,676
833,660
824,641
821,625
815,610
809,596
803,582
802,567
795,556
785,550
780,541
773,530
764,522
757,515
749,507
745,508
737,502
727,497
719,495
696,495
689,493
680,492
672,489
662,485
652,485
644,483
637,483
632,483
629,482
627,477
629,478
633,476
634,474
635,469
641,467
662,474
662,472
664,469
682,468
688,466
694,465
709,466
729,458
741,458
752,459
761,463
773,461
786,461
798,461
813,460
825,461
657,396
844,460
855,459
873,457
885,459
891,457
898,457
914,451
926,446
936,444
971,296
953,452
964,451
971,454
978,457
988,457
997,458
1005,456
1001,443
1004,434
996,387
1002,381
996,388
990,418
987,405
979,419
975,446
981,410
984,408
982,472
980,418
979,419
979,433
975,430
964,433
966,432
1000,466
994,470
988,470
983,463
985,464
982,464
973,460
962,459
948,462
943,462
936,461
927,463
968,297
903,267
967,298
903,264
966,295
859,459
854,461
843,464
834,464
828,462
961,306
960,309
960,310
960,309
755,460
743,463
904,266
723,469
712,472
904,264
682,469
668,470
660,470
656,472
655,475
650,473
648,470
648,467
651,464
656,463
660,463
678,468
681,470
693,470
697,466
702,464
708,465
728,460
742,461
756,471
767,475
777,480
788,491
800,496
808,506
815,522
821,530
828,548
834,559
839,570
845,586
847,613
851,626
853,638
855,664
856,681
870,613
856,724
858,735
861,749
859,765
854,780
847,800
843,813
832,835
822,848
817,859
810,871
798,882
791,891
778,900
770,902
755,909
739,915
728,918
709,920
699,920
687,923
676,927
661,927
650,926
638,924
628,923
617,922
601,919
590,919
580,917
568,912
559,909
549,906
539,905
518,901
510,898
505,896
499,894
495,892
489,888
486,883
483,882
477,882
474,882
469,882
531,844
468,882
468,882
469,882
463,889
463,891
464,893
467,893
473,890
483,889
484,894
489,894
502,895
510,894
520,898
527,901
539,908
547,908
558,911
569,918
587,926
595,928
598,928
614,934
624,936
639,937
657,934
665,934
677,936
689,936
695,941
709,942
727,939
757,925
765,920
773,912
780,912
797,898
801,874
811,864
818,855
823,841
829,833
835,822
840,808
839,789
840,774
841,759
844,742
845,725
844,707
843,688
843,676
843,663
842,650
839,633
836,613
833,600
827,590
825,577
822,565
813,552
810,537
806,529
799,521
787,509
780,503
771,497
761,492
749,488
741,485
735,484
726,483
713,481
701,475
691,471
682,464
680,461
675,464
671,461
669,461
672,462
675,460
679,457
686,461
702,463
713,461
719,460
725,459
739,458
748,460
762,459
771,461
783,464
793,462
805,462
819,462
831,459
840,460
851,460
863,458
882,455
892,456
898,456
911,451
921,446
960,312
974,291
954,448
960,450
968,452
975,455
940,339
952,328
952,329
954,323
1014,442
1016,442
1012,437
982,407
1030,460
996,383
979,456
973,463
973,469
1024,469
1025,465
1006,471
1005,469
1005,467
1001,469
1000,467
995,469
987,468
985,469
973,465
966,465
960,465
947,464
938,467
930,468
923,470
969,294
971,289
903,266
884,468
875,466
861,460
856,462
957,314
967,297
976,283
808,466
905,262
901,266
900,266
900,268
902,266
731,468
723,469
987,395
986,396
684,473
966,305
660,469
653,467
653,472
650,472
648,468
651,470
650,468
659,475
664,477
668,478
678,478
684,475
688,471
695,467
706,470
721,469
730,471
745,476
753,478
764,483
775,494
787,496
798,510
806,518
811,529
816,541
823,556
828,565
831,584
836,593
839,605
842,618
844,641
844,655
843,678
844,692
845,710
845,723
843,742
839,766
838,780
836,792
832,805
826,826
822,839
816,850
809,863
804,872
798,882
786,890
779,899
770,906
760,911
747,914
733,919
726,923
717,924
701,928
689,933
679,933
665,929
655,931
646,932
633,930
619,927
605,922
596,920
589,919
576,918
561,911
552,909
540,908
531,906
522,903
512,900
505,900
501,899
497,897
495,894
488,886
481,884
474,885
528,844
460,890
461,890
459,893
448,902
475,892
477,892
479,894
458,901
463,899
467,898
469,898
477,895
483,896
488,896
499,895
511,895
519,899
529,901
536,905
541,906
559,910
573,914
581,918
595,926
600,924
610,927
622,928
642,928
654,927
664,929
679,927
687,933
697,932
710,926
720,925
739,922
761,915
784,896
792,884
799,874
806,859
815,855
821,848
826,840
829,823
833,811
836,794
838,785
838,775
840,759
839,731
840,715
840,700
841,684
841,671
841,656
839,638
834,618
831,607
829,597
822,585
818,573
814,560
807,542
802,533
797,526
790,517
779,506
770,498
760,492
752,489
743,486
740,486
735,482
726,481
719,480
706,478
687,481
679,479
671,482
664,483
653,480
644,480
634,482
629,482
626,482
624,480
626,482
625,477
624,475
629,475
631,473
650,483
654,479
658,477
674,475
680,473
689,472
708,468
715,467
734,462
740,465
754,461
767,458
777,459
791,461
805,460
815,461
829,461
839,461
849,461
859,462
878,460
886,460
893,461
907,456
920,447
928,447
971,296
947,455
956,454
967,302
976,456
983,460
991,460
