x,y
225,161
224,162
224,162
224,162
224,162
224,162
222,162
221,162
206,163
200,163
194,168
193,184
147,216
146,215
147,216
148,216
148,216
149,215
151,215
154,215
156,215
158,216
159,216
162,218
163,218
166,218
176,219
177,220
178,220
182,219
180,217
182,216
183,215
194,195
194,190
194,188
194,184
193,182
192,179
178,166
166,164
165,164
165,165
166,164
166,164
168,164
203,162
209,162
215,162
216,162
216,162
218,162
219,162
222,162
222,162
224,163
225,163
225,163
227,163
225,163
224,163
224,162
224,162
223,162
223,162
224,162
222,162
222,162
221,162
221,162
220,162
219,162
218,162
216,162
215,162
214,162
212,162
209,162
208,162
207,162
206,162
205,162
204,162
203,162
202,162
201,162
200,162
198,162
196,163
178,164
178,164
175,165
174,165
173,165
172,165
171,165
170,165
166,164
165,164
165,165
165,165
166,165
167,164
168,164
168,164
169,163
176,164
178,164
178,164
180,165
182,165
193,175
194,180
194,184
194,201
194,203
193,180
193,182
192,187
186,210
181,216
180,217
176,218
175,219
182,219
181,219
180,220
178,220
177,220
175,219
172,219
170,219
168,219
165,218
161,217
159,216
155,215
154,215
152,215
151,215
150,215
148,216
148,216
147,216
147,216
147,216
147,216
147,216
150,215
152,215
153,215
154,215
157,216
158,216
159,217
162,217
163,218
165,218
168,219
175,218
176,218
180,219
182,214
184,214
186,210
191,198
192,194
192,192
192,179
192,200
192,194
192,190
192,188
192,187
192,186
192,184
192,181
192,180
192,178
192,177
191,176
192,173
193,168
194,167
196,165
197,164
198,163
200,162
201,162
203,162
204,162
203,162
220,160
221,160
222,159
222,159
221,160
221,160
222,159
221,159
220,160
219,160
218,160
218,160
217,160
216,161
214,161
213,161
213,161
212,161
210,162
209,162
207,162
206,162
205,162
204,162
204,163
204,163
202,162
201,162
200,162
198,161
196,163
220,149
190,164
186,164
185,164
179,165
178,164
176,165
175,165
174,164
173,164
172,165
171,165
170,165
169,165
168,165
166,165
166,164
165,164
164,164
164,164
164,164
165,165
166,165
166,165
168,165
169,165
170,163
170,163
171,163
176,164
177,164
178,163
178,163
179,164
182,164
186,166
192,171
192,173
192,174
193,175
194,178
195,188
195,185
195,187
194,190
194,192
193,198
191,204
190,206
189,210
187,212
183,215
182,216
181,216
178,217
178,218
177,218
175,218
172,218
171,218
170,218
168,218
167,218
165,218
164,217
147,215
146,214
146,214
146,214
148,214
148,214
149,215
152,214
153,214
155,214
156,215
158,215
159,216
160,216
161,217
162,218
164,218
166,218
168,218
170,218
172,218
173,218
175,218
176,218
178,218
179,218
180,218
182,218
180,215
182,214
187,204
188,202
192,191
192,189
192,187
192,184
192,181
192,179
193,206
193,200
193,198
193,196
193,191
192,188
192,187
192,185
192,184
192,183
192,181
183,166
180,165
179,165
178,164
178,165
177,165
175,165
174,165
173,166
172,166
171,165
170,165
168,163
167,165
167,164
167,164
167,164
167,163
168,163
169,163
170,163
173,164
174,164
175,164
176,164
178,164
180,163
186,162
190,162
192,162
197,162
200,162
202,162
202,162
203,162
204,162
205,162
207,162
208,162
210,162
211,162
212,162
214,162
215,162
216,162
218,162
219,162
220,162
221,161
222,162
222,162
222,162
223,161
223,161
223,161
223,162
222,162
222,162
222,162
221,162
221,161
221,161
220,161
220,161
220,161
218,161
217,161
216,161
215,161
214,161
214,161
212,162
211,161
211,160
208,160
205,161
204,161
204,161
200,161
219,130
219,130
219,130
197,164
195,186
195,188
196,190
194,205
194,207
194,181
193,182
193,184
193,186
193,188
193,189
193,191
193,193
192,194
192,196
191,198
191,200
190,207
189,210
188,211
186,214
182,217
181,218
180,218
179,219
176,219
181,220
179,220
177,220
176,220
174,220
172,219
170,219
169,219
167,218
166,218
161,216
159,216
157,216
155,215
153,214
152,214
166,205
166,205
147,216
148,216
148,216
148,216
150,216
150,216
153,215
154,215
155,215
156,215
158,216
159,216
160,217
164,217
171,218
173,218
174,218
176,218
177,218
178,219
179,219
180,219
182,219
174,218
176,218
177,217
180,216
182,216
184,214
188,210
188,208
189,205
190,202
190,200
191,192
191,190
191,178
190,205
190,202
191,200
191,198
190,195
190,181
189,175
189,174
191,170
192,168
194,166
195,165
196,164
197,164
197,163
198,163
198,163
204,162
203,162
204,161
205,161
206,161
207,161
211,161
212,161
213,161
214,161
215,161
217,161
218,161
220,161
220,161
221,161
221,161
221,161
222,161
222,161
222,161
222,161
222,160
222,160
222,160
221,160
220,160
220,160
219,160
218,160
218,160
217,161
216,161
215,161
214,161
213,161
212,161
211,161
210,162
208,162
207,162
206,162
205,162
204,163
204,162
204,162
202,162
201,161
200,161
198,162
197,162
195,163
194,163
188,163
184,164
182,164
180,165
179,165
178,164
178,165
176,165
175,165
174,165
173,165
171,165
170,165
169,165
167,166
166,166
165,165
165,165
164,164
164,164
164,164
166,166
167,166
168,166
170,166
170,166
171,166
172,165
173,164
174,163
174,163
175,163
176,164
177,164
178,164
178,164
179,164
181,164
182,165
183,165
184,166
187,167
189,168
190,169
193,171
193,172
195,178
196,183
196,192
195,194
195,196
195,198
195,200
195,201
195,203
195,179
194,181
194,182
194,184
193,186
193,188
192,190
192,191
191,193
190,195
190,197
189,199
188,201
188,203
188,206
188,208
188,210
187,211
187,212
186,213
184,215
183,216
182,217
181,217
180,218
178,218
177,218
175,218
182,218
180,218
179,218
177,218
175,219
172,219
171,219
170,218
168,218
166,218
165,218
163,217
161,216
155,214
152,213
150,213
146,214
145,213
145,213
147,213
148,213
149,213
150,213
151,213
152,213
154,213
156,214
157,214
158,214
159,215
160,216
162,216
163,217
164,217
165,217
169,217
174,217
175,218
177,218
179,218
180,218
181,218
174,217
175,217
176,216
189,188
190,206
190,203
190,201
190,197
190,195
190,193
190,191
190,186
189,183
189,179
182,168
181,167
180,166
178,165
177,165
178,164
177,165
176,165
175,165
174,165
174,165
173,165
172,165
172,164
170,163
170,164
170,164
170,164
170,164
171,164
173,163
174,163
182,162
184,162
187,162
188,162
190,162
191,162
192,162
193,163
195,163
196,163
198,163
199,162
