x,y
223,163
223,163
225,163
225,163
224,163
225,163
225,162
226,161
226,162
221,159
227,163
226,163
225,163
223,163
222,164
221,164
219,165
219,164
219,164
219,164
218,164
217,164
215,164
213,164
212,164
211,164
216,136
208,165
207,165
205,165
217,134
217,133
219,131
198,165
205,127
205,127
206,127
191,165
190,165
188,165
186,165
183,165
215,137
216,136
218,133
174,163
172,162
171,155
170,156
169,155
168,157
167,158
168,156
171,161
170,157
170,157
172,160
171,157
174,165
219,154
178,169
179,171
182,173
184,176
186,178
188,179
189,180
190,183
191,184
191,186
192,187
193,190
193,192
194,195
194,198
193,200
193,203
194,205
194,208
193,188
193,191
193,193
193,195
191,197
191,200
190,202
189,204
188,206
187,208
186,210
184,212
182,214
181,216
179,217
178,219
176,220
174,221
178,223
177,223
175,223
173,223
172,224
170,224
169,224
166,224
165,224
163,224
161,224
160,224
159,224
157,224
156,224
155,224
154,224
153,223
152,222
151,222
150,222
147,223
146,222
145,222
143,222
159,212
146,222
148,221
149,221
149,221
150,221
151,221
152,221
153,222
155,223
156,223
158,223
160,223
161,223
163,223
165,223
167,223
169,223
170,223
173,223
174,223
175,223
177,223
178,223
173,222
175,222
176,221
178,219
181,217
182,214
184,213
185,212
187,210
187,209
187,207
188,205
188,203
189,202
189,199
189,197
189,196
189,192
189,190
189,188
189,208
189,204
189,202
189,199
189,197
189,195
188,193
188,191
187,189
187,187
187,185
186,183
185,182
185,180
184,179
183,177
182,176
180,175
179,174
178,173
177,172
176,171
176,171
174,171
173,172
173,172
172,173
174,164
164,170
170,169
174,168
172,169
172,169
173,158
175,158
173,169
174,169
175,169
177,166
178,166
180,166
183,165
184,165
186,165
188,165
190,165
191,165
193,165
194,164
196,164
197,164
201,164
201,164
202,164
204,163
205,162
206,162
208,160
216,135
209,161
210,161
211,161
212,160
213,160
214,160
215,160
216,159
215,161
215,162
215,161
215,160
216,158
216,158
215,157
215,158
217,133
217,133
217,133
217,134
212,157
218,131
210,160
209,161
209,160
207,159
207,159
207,159
207,159
216,134
217,133
205,128
205,128
204,128
203,129
205,127
194,165
194,165
192,165
189,166
188,166
187,165
185,165
180,166
178,165
177,165
215,137
216,135
206,127
174,165
173,165
171,164
170,164
168,159
167,160
165,161
165,161
166,156
169,166
168,161
169,164
171,165
172,164
173,165
220,155
174,166
220,154
176,169
178,171
181,175
182,177
184,177
186,178
187,179
188,180
190,183
191,185
191,186
192,187
193,190
193,191
193,193
194,195
194,198
194,200
194,203
195,206
195,208
195,187
195,189
195,192
195,194
195,196
194,198
193,201
192,203
191,205
190,206
189,208
188,211
186,213
184,215
183,216
182,217
181,218
179,219
176,221
174,222
172,223
178,223
175,223
174,223
173,224
171,224
169,224
167,224
166,224
165,224
163,224
161,224
159,224
158,224
157,223
156,223
155,223
154,222
153,222
152,221
151,221
150,221
149,221
146,221
145,221
145,221
148,221
147,222
148,222
148,222
148,222
149,222
150,222
150,222
151,222
153,222
154,223
155,223
157,223
158,223
159,223
161,223
162,223
164,223
166,223
168,223
169,223
171,223
173,223
173,223
175,222
176,222
178,222
179,222
174,221
175,220
177,217
179,215
182,214
184,212
185,211
187,210
188,207
188,206
189,205
190,202
189,201
190,199
190,197
190,194
191,192
191,190
191,210
191,207
192,205
192,203
192,200
191,198
191,196
191,194
191,191
190,189
190,188
189,185
189,184
188,183
187,181
187,179
185,177
184,175
183,174
182,172
182,171
180,170
179,169
178,168
177,168
175,167
174,167
173,167
172,167
171,167
170,166
169,165
167,164
166,164
166,166
166,167
163,163
162,163
163,163
163,163
164,163
167,167
170,159
170,169
172,169
173,170
174,169
175,170
177,168
177,167
180,167
183,167
185,166
187,166
189,166
190,166
192,165
194,165
195,165
197,165
200,164
201,164
202,164
203,164
205,163
206,162
208,162
217,134
210,162
211,162
212,162
217,134
214,161
215,161
216,161
219,157
221,157
216,162
216,162
216,161
216,160
217,159
217,159
217,158
217,158
217,159
218,132
218,131
217,133
217,134
217,133
217,151
213,158
211,161
210,163
218,155
216,137
208,160
207,161
207,162
215,137
217,134
204,165
205,127
203,129
204,129
205,128
205,128
194,167
193,166
216,136
190,166
189,166
187,166
185,166
183,166
179,165
178,165
218,131
205,128
205,128
174,165
172,157
171,163
169,162
167,159
167,160
169,165
168,165
168,165
168,161
169,162
170,162
172,163
172,164
173,165
174,166
177,168
180,171
182,172
184,174
185,175
187,177
188,178
189,179
190,182
190,183
191,184
191,187
192,188
193,190
193,193
194,196
194,198
195,200
195,204
195,206
196,208
196,210
195,189
195,191
195,194
194,196
192,198
192,201
191,202
191,204
189,206
188,209
187,211
185,214
184,215
183,216
182,217
221,189
176,221
175,222
174,222
178,223
177,223
175,224
173,224
171,224
170,224
168,224
167,224
165,224
163,224
161,223
160,223
159,223
158,223
157,222
156,222
155,222
154,221
152,221
151,221
151,221
149,221
147,220
147,221
147,222
146,223
147,223
147,223
149,222
150,222
151,222
151,222
152,223
154,223
155,223
156,223
157,223
158,223
160,222
161,223
163,223
166,223
167,223
169,223
170,222
171,222
173,222
174,222
176,221
177,221
172,220
174,218
176,216
178,214
180,212
183,210
185,208
186,207
187,204
187,203
188,202
189,199
189,196
190,194
190,192
190,190
191,187
191,207
191,205
191,201
191,199
191,197
191,195
191,193
190,191
189,189
189,186
188,184
187,183
186,181
185,179
183,178
182,176
181,174
180,173
179,172
178,171
177,169
176,169
175,169
174,169
173,169
172,169
171,169
170,168
169,169
169,170
166,167
165,167
164,167
161,164
161,163
161,163
162,162
164,165
169,169
171,169
171,169
170,168
172,169
175,169
177,166
180,167
183,166
185,165
187,165
189,165
190,165
192,165
193,164
195,164
196,164
200,164
201,163
202,163
203,163
204,162
206,162
207,160
216,136
218,133
209,161
210,161
211,161
218,133
214,161
215,161
216,161
216,161
217,160
217,160
217,159
217,159
216,158
216,159
215,159
216,135
217,134
217,133
219,131
213,157
213,157
214,144
206,127
213,141
214,139
207,160
208,160
207,161
216,135
217,133
204,166
205,128
205,128
205,128
204,129
197,169
196,169
193,169
192,169
191,169
190,169
188,169
186,169
184,168
181,168
215,137
215,137
217,134
205,128
206,127
205,127
173,166
172,166
169,163
167,158
164,159
164,159
164,160
168,164
169,163
170,163
170,163
170,162
172,164
174,165
174,165
220,153
177,169
179,171
182,172
183,174
186,175
187,176
188,179
189,180
190,181
191,183
191,184
192,186
193,188
193,191
193,193
194,196
194,198
195,201
195,203
195,206
195,208
195,210
195,189
195,192
194,195
193,197
193,200
192,201
192,203
191,205
190,208
189,211
187,213
186,214
185,216
185,217
183,218
182,219
180,220
179,221
175,221
173,222
179,223
178,223
175,224
174,224
172,224
170,224
169,223
167,224
165,223
163,223
162,223
160,222
159,222
158,222
157,222
155,221
153,221
152,221
151,221
150,220
148,220
146,221
145,222
144,223
144,224
155,211
155,211
143,227
152,213
154,217
156,216
156,215
150,221
150,221
151,221
152,221
153,222
154,222
155,223
156,223
158,223
160,223
161,223
164,223
165,223
167,223
168,223
169,224
171,223
173,223
174,223
175,224
177,223
179,223
173,222
174,222
176,221
177,220
179,218
181,216
182,212
183,211
183,210
185,208
185,207
186,205
187,204
187,201
188,199
188,198
189,195
189,193
189,191
189,188
189,209
189,206
189,203
190,201
190,198
190,195
190,193
189,191
189,189
188,188
188,186
187,184
186,182
185,181
183,179
182,177
181,176
180,175
178,173
177,172
176,171
174,169
173,169
172,169
172,171
170,169
168,167
166,166
166,166
167,167
167,167
169,167
169,167
169,167
170,166
170,163
170,164
170,163
173,165
174,165
175,166
177,165
178,166
180,165
183,166
184,166
186,166
188,166
189,166
191,166
192,165
193,164
195,164
196,164
196,164
199,164
200,164
200,164
201,165
201,165
