x,y
222,165
223,165
220,166
220,166
220,165
221,165
221,164
215,165
214,166
219,165
217,164
220,164
219,163
218,164
217,163
217,163
215,162
213,162
211,163
208,164
213,134
213,135
203,163
202,167
202,166
213,137
215,133
213,134
213,135
213,135
214,134
190,168
217,156
216,156
218,153
219,150
214,133
214,133
220,149
220,149
220,149
169,170
168,170
166,169
163,166
164,168
215,133
214,134
167,166
170,165
170,164
172,163
173,163
215,132
174,163
179,165
181,166
182,167
184,169
185,169
186,172
187,172
189,174
189,177
190,179
190,181
190,183
190,186
191,187
191,189
190,193
190,196
191,200
191,202
191,205
191,209
192,188
191,191
191,195
191,198
190,201
189,204
188,207
187,209
186,211
185,214
184,216
182,218
181,220
179,221
177,222
175,223
173,224
179,225
177,225
173,225
171,224
170,224
166,224
165,224
162,224
160,223
158,223
157,222
155,222
153,222
151,221
149,221
147,221
146,221
145,221
145,221
144,221
144,220
144,220
143,220
142,220
144,210
138,223
137,223
135,224
135,223
136,221
135,221
134,221
141,216
143,215
140,217
140,217
139,219
140,218
141,217
143,217
139,219
139,219
141,220
142,220
142,221
143,221
145,221
146,221
148,222
150,222
151,222
153,222
155,223
156,223
158,224
161,224
162,224
165,224
167,223
169,224
171,224
173,225
175,225
178,224
172,223
174,223
176,222
178,221
182,218
183,216
184,215
185,211
186,211
187,209
188,207
189,206
189,203
189,201
189,198
190,196
190,193
190,190
190,210
190,207
190,204
190,202
190,199
190,196
190,193
190,190
190,188
189,186
188,184
187,182
187,181
186,179
184,177
183,176
181,175
179,174
177,174
174,169
171,169
170,169
168,169
167,168
165,168
163,167
159,163
159,163
159,163
159,162
159,162
165,165
165,165
167,165
166,165
166,165
168,165
169,165
171,165
174,165
177,165
179,164
181,164
183,164
186,164
188,163
190,163
191,163
193,164
195,163
197,163
200,163
201,163
203,163
204,162
207,160
209,159
214,136
213,160
214,137
215,135
214,134
216,164
217,165
216,162
216,161
217,160
218,134
219,133
220,148
219,157
220,159
219,161
213,135
213,136
212,136
218,153
217,155
217,155
214,133
214,134
215,132
217,155
217,155
217,155
218,152
218,151
219,150
220,148
220,148
219,149
214,134
215,132
223,165
219,166
219,166
218,165
217,165
217,165
215,162
219,166
219,165
219,165
219,164
219,163
217,164
217,163
215,163
214,163
212,163
210,163
209,163
207,164
215,131
204,163
202,163
198,163
196,163
195,163
193,163
192,163
215,131
190,162
187,163
217,153
218,153
217,154
218,153
173,165
171,165
169,166
168,166
167,166
166,166
165,165
161,161
160,162
162,165
163,166
164,166
166,165
167,165
167,165
168,165
168,164
170,163
170,163
172,163
175,164
179,165
182,168
183,169
185,170
186,172
187,173
189,175
190,178
190,180
191,183
191,184
192,185
192,188
192,190
192,193
191,196
191,199
191,203
192,205
192,209
192,189
192,191
191,194
191,196
191,200
190,202
190,204
189,207
188,209
188,211
187,213
186,215
186,217
184,219
183,220
183,221
181,223
179,223
178,224
175,225
174,225
179,225
177,225
175,225
172,225
171,225
169,225
167,225
165,225
163,224
161,223
158,223
157,223
155,223
153,223
151,222
149,221
148,221
148,220
147,220
145,221
145,221
145,220
144,220
143,220
142,221
144,211
144,211
140,222
139,222
139,222
139,221
139,220
139,220
142,216
143,215
143,215
143,214
144,213
144,212
143,213
141,215
141,216
141,217
141,217
142,217
143,217
140,219
142,219
145,217
145,218
143,220
143,219
144,220
144,221
145,221
146,221
148,222
149,222
150,222
152,223
154,223
155,223
157,224
159,225
162,225
164,225
166,225
168,224
169,224
171,225
174,225
176,226
