x,y
976,530
976,529
975,528
971,529
972,528
972,529
977,538
975,532
977,533
978,533
978,533
979,535
977,534
977,534
987,740
987,738
985,746
984,751
909,752
914,757
910,753
955,738
951,733
952,733
951,731
953,734
951,731
920,780
918,772
920,769
920,768
920,767
920,765
919,763
919,760
920,759
920,757
922,758
910,752
920,756
918,756
919,756
916,755
911,753
911,753
933,762
932,608
930,607
930,606
928,605
928,604
929,603
969,537
967,536
966,535
964,534
963,533
951,553
947,547
945,544
944,541
942,540
948,543
938,536
936,533
933,532
928,529
922,529
919,528
916,526
909,529
897,537
894,535
893,533
890,532
887,531
884,529
870,575
867,574
867,572
888,521
910,489
907,486
875,513
877,512
881,510
885,507
889,501
893,496
900,488
907,487
912,484
921,482
926,481
930,479
935,478
941,476
947,474
954,474
961,473
964,471
973,473
977,473
980,473
984,473
986,473
986,473
987,477
981,479
979,480
980,478
995,473
989,473
973,481
972,484
973,489
980,493
985,494
988,494
989,498
993,498
1006,492
1009,493
1007,499
950,470
949,469
951,469
950,468
1012,491
1009,488
1000,489
998,487
995,483
991,480
982,485
974,485
970,484
967,481
1023,482
1022,479
1003,485
1001,485
996,486
994,484
976,485
972,484
974,481
976,479
975,474
968,477
962,476
956,476
945,477
942,479
937,479
931,481
921,483
913,481
911,483
905,488
894,499
886,499
878,503
870,507
860,512
859,516
866,511
864,511
859,514
849,525
844,528
839,532
843,522
842,522
822,562
820,566
816,577
812,589
807,600
803,610
798,626
797,633
801,637
798,646
795,656
790,673
789,685
786,698
783,712
782,730
781,744
780,758
778,770
773,783
771,797
770,805
769,813
766,821
763,829
761,836
753,845
748,854
744,862
741,868
736,875
731,885
725,892
719,900
714,904
706,910
700,914
694,917
688,922
682,923
675,926
666,927
659,929
651,931
643,933
635,934
629,933
623,932
613,931
606,932
600,931
594,930
587,929
576,924
570,924
564,925
557,926
552,927
549,928
542,931
539,931
518,945
535,927
534,927
509,946
530,928
531,933
525,938
516,951
520,952
531,945
535,944
538,945
540,945
545,944
551,944
554,947
556,949
558,950
562,949
569,948
571,950
574,950
578,951
581,952
584,951
591,950
595,948
603,947
614,944
620,945
624,946
633,948
639,949
645,949
659,944
658,945
661,941
664,938
668,936
674,933
678,932
683,931
688,929
694,925
702,920
708,917
711,912
716,908
724,901
731,887
736,880
742,872
747,865
752,855
755,850
759,842
762,836
765,830
768,823
770,811
773,806
777,799
780,794
782,787
783,781
784,774
785,764
784,755
785,745
786,738
787,728
789,717
793,702
796,690
797,680
801,667
804,658
805,651
808,641
809,635
811,629
812,622
813,615
814,605
815,597
817,589
818,583
819,577
820,572
822,563
824,557
826,551
828,539
831,532
835,528
838,525
842,523
845,521
846,518
848,513
852,508
857,501
862,500
869,500
875,499
880,495
883,494
887,491
895,484
902,482
909,482
916,481
922,481
929,479
933,478
935,472
939,467
948,477
953,478
960,478
966,477
971,477
978,477
983,477
985,477
983,478
987,478
995,480
999,479
1001,480
1004,479
1008,478
1010,480
1011,480
1012,480
1019,474
1020,476
1020,480
1020,483
1019,485
1019,485
1019,484
1017,477
1025,470
1032,469
1028,468
1013,480
1012,480
1005,484
998,486
993,487
992,486
991,485
991,483
989,480
986,480
980,479
979,478
985,471
983,471
978,472
975,472
970,473
966,474
963,474
960,476
953,475
951,472
946,473
943,475
939,473
929,477
923,481
918,482
915,482
911,481
910,485
893,486
895,494
897,492
901,488
892,496
889,500
885,501
881,501
877,503
832,547
831,548
867,505
896,473
822,569
848,533
844,538
841,542
839,543
836,547
833,552
829,559
824,564
820,569
815,581
811,589
808,597
804,604
801,611
795,626
796,629
797,633
795,644
792,656
789,664
788,674
786,680
785,689
783,699
781,709
779,718
775,730
774,742
773,752
772,761
771,770
767,779
768,790
769,800
770,809
770,818
770,825
769,831
768,837
764,845
762,852
759,859
756,867
751,871
746,877
740,886
736,891
730,895
726,900
721,904
716,906
710,910
703,917
695,920
691,924
683,927
674,930
669,929
662,930
655,932
640,932
632,933
624,935
618,935
609,933
602,933
598,931
592,931
587,929
578,926
565,919
559,918
552,919
548,921
544,922
542,920
538,921
536,920
536,918
537,921
534,923
526,928
530,931
530,935
532,937
540,937
544,938
549,941
552,941
555,943
559,945
565,946
570,948
576,949
584,951
586,955
595,959
601,957
610,955
623,955
639,952
643,953
647,953
662,948
671,943
678,941
687,937
694,936
701,931
709,926
718,917
725,911
733,900
745,887
751,874
755,867
759,857
764,850
768,846
771,841
776,831
779,826
783,823
785,815
787,807
788,799
789,791
791,785
793,775
793,767
793,761
793,753
792,745
793,736
795,724
796,713
797,702
800,689
800,680
803,666
805,657
806,650
808,643
809,635
810,629
811,623
811,615
812,608
813,601
814,592
814,584
816,578
817,573
819,566
820,561
823,553
827,547
829,537
832,532
835,529
837,526
840,525
843,524
845,522
847,516
851,511
857,503
863,502
868,502
873,500
879,499
883,497
887,495
893,485
899,484
905,483
912,483
921,482
924,481
930,478
933,477
937,477
940,471
947,476
951,477
958,477
962,478
968,476
975,474
981,475
984,475
986,475
989,474
993,473
998,473
998,472
996,473
993,471
994,470
995,472
986,473
996,477
997,489
1007,484
1010,482
1014,479
1016,478
1014,479
1010,476
1008,477
1012,484
1025,478
1025,476
1024,475
1019,474
990,493
989,488
989,485
989,484
981,478
983,477
987,472
986,471
978,474
974,476
968,476
964,477
956,476
951,474
947,475
945,476
941,477
930,479
924,482
918,482
904,480
899,481
894,484
892,488
887,490
897,487
868,495
863,502
871,500
870,502
857,511
862,507
861,509
864,499
864,496
860,498
855,507
849,519
844,531
834,552
831,561
828,569
825,575
822,581
819,588
814,601
809,611
805,620
802,626
802,633
801,641
800,649
798,660
797,671
794,680
791,689
787,705
786,713
785,723
783,735
782,747
780,761
776,773
775,782
774,793
774,802
774,810
772,818
771,827
771,837
769,845
766,855
764,864
760,869
753,876
749,882
744,889
740,894
735,899
727,901
720,905
712,908
705,910
694,912
687,914
679,917
670,920
662,923
653,926
638,927
632,928
626,929
617,929
603,927
597,928
590,927
584,926
577,925
570,921
563,920
556,922
550,923
544,924
538,925
534,926
530,924
522,919
527,917
535,918
535,921
532,926
531,931
536,932
539,934
545,936
550,936
556,937
566,937
569,940
574,940
585,940
590,940
595,941
612,939
617,941
624,941
629,940
636,937
654,930
656,927
659,926
662,929
672,927
677,925
684,922
689,919
698,911
705,906
712,899
722,889
729,881
735,873
740,859
746,848
750,843
753,835
755,822
757,816
759,806
762,799
766,791
766,777
769,772
771,765
774,753
773,738
778,728
781,717
786,703
787,691
789,676
792,665
796,654
799,646
803,637
807,630
810,622
819,611
822,603
826,594
830,589
832,583
835,578
836,567
840,560
846,555
850,547
853,541
855,535
859,529
885,482
888,477
892,472
863,506
869,508
877,506
883,503
887,501
890,499
893,498
895,496
901,494
909,492
915,489
921,486
925,486
927,488
930,488
933,486
935,486
937,485
942,484
946,484
954,480
958,478
964,477
970,474
973,474
977,475
982,475
986,475
979,477
988,475
989,476
992,477
995,477
1002,479
1005,480
1006,481
1009,479
1006,476
987,475
1005,472
1001,475
1002,475
998,478
984,484
983,487
984,489
987,491
990,492
993,493
995,496
964,529
1013,488
1012,491
1008,496
1017,485
1014,489
1013,491
905,740
904,733
904,733
905,743
903,739
902,736
903,731
904,730
941,726
907,745
922,780
921,774
921,771
919,765
917,763
917,762
918,761
918,760
920,759
921,760
927,762
904,733
935,766
931,767
930,767
927,764
923,762
928,762
931,764
935,766
936,766
907,745
924,765
925,771
1011,488
996,495
982,498
981,493
980,487
978,484
978,479
977,474
973,472
1005,488
1003,488
1002,488
1003,485
999,485
996,485
990,484
989,483
986,482
982,480
979,479
963,482
965,481
958,483
949,480
946,480
945,481
944,480
