x,y
221,165
175,167
219,165
201,165
202,165
217,165
200,165
215,165
212,165
216,165
213,165
145,219
143,218
211,165
209,165
220,165
218,165
203,165
205,165
144,219
199,165
214,165
206,165
174,167
210,165
151,218
189,166
171,168
175,168
176,167
222,165
173,221
204,165
149,218
189,201
189,197
189,196
190,193
189,190
189,187
165,169
193,166
218,164
208,165
173,168
172,222
173,223
189,203
177,221
169,168
175,223
189,202
171,223
191,166
189,184
145,217
195,165
173,167
219,164
207,165
191,191
218,166
177,222
191,167
155,219
143,217
163,167
211,164
189,199
188,205
154,219
189,182
190,169
189,188
189,200
190,185
147,217
189,185
190,182
171,222
189,195
190,195
189,198
189,204
175,166
195,166
174,168
168,168
167,169
193,165
171,167
189,189
176,222
189,167
189,191
190,175
190,166
191,187
179,168
189,192
166,168
169,222
167,168
190,191
179,221
176,221
190,200
174,221
190,199
172,221
190,183
220,166
190,184
190,187
156,220
188,203
189,193
188,165
189,169
224,164
175,169
176,223
189,205
169,167
177,168
157,220
156,219
172,168
172,167
199,166
190,168
147,219
163,169
173,220
188,166
178,222
170,167
193,167
189,181
179,222
190,198
175,222
189,174
175,221
189,173
190,197
192,165
145,218
192,166
177,223
177,166
197,164
209,164
187,206
225,164
174,223
187,205
191,193
152,217
152,218
164,167
189,176
177,167
187,207
187,209
189,172
170,168
194,166
167,222
188,171
171,221
165,221
175,220
162,169
159,220
203,166
173,222
191,189
201,166
160,221
210,164
208,164
200,166
167,167
146,218
144,217
181,169
207,164
165,167
148,217
179,167
198,165
182,167
197,165
213,164
187,210
187,208
162,168
166,166
226,163
190,192
194,165
146,219
181,168
191,195
192,167
188,207
189,194
183,217
190,167
174,222
150,218
190,201
185,211
186,207
220,164
217,164
144,218
143,219
214,164
158,220
180,169
225,163
169,169
163,221
187,204
223,164
189,175
217,163
170,222
163,166
189,186
190,209
191,169
190,196
178,168
188,204
152,219
165,165
196,165
190,170
149,217
167,221
185,209
186,209
186,213
201,164
223,165
160,220
153,218
191,183
188,196
188,195
171,169
165,166
190,194
172,223
191,185
153,219
166,169
191,170
190,190
190,181
190,189
191,197
191,171
197,166
191,188
186,212
186,208
172,169
215,164
164,165
198,164
185,214
219,166
202,166
159,219
218,167
147,218
206,164
183,170
212,164
161,221
162,221
216,166
186,211
148,218
195,164
188,173
189,177
189,171
163,168
188,206
188,201
187,169
176,168
181,167
164,169
178,223
187,202
168,222
178,221
178,219
176,166
177,219
179,223
190,203
179,220
178,166
179,218
191,184
179,169
191,168
179,217
189,183
181,216
190,174
189,170
189,165
188,202
188,193
188,183
188,172
187,203
187,170
185,213
181,217
185,212
184,217
184,214
189,180
159,221
183,216
161,167
161,220
184,213
189,207
192,181
165,222
167,165
221,166
167,166
196,164
170,221
191,201
194,167
191,199
191,190
191,206
224,163
168,167
191,194
203,164
170,169
162,166
189,209
181,218
190,179
162,165
180,217
188,179
190,173
204,166
192,182
192,184
182,168
215,166
188,185
183,213
189,206
183,214
184,212
171,166
205,164
184,168
163,222
155,218
174,220
193,168
169,223
157,219
161,165
183,169
183,168
183,167
188,194
190,180
185,217
146,217
182,215
188,177
188,175
216,163
186,214
178,218
191,204
164,170
170,223
190,207
187,211
177,220
178,169
190,210
166,165
191,165
153,217
151,217
168,169
150,217
191,178
165,170
180,168
188,174
180,167
190,188
187,198
162,220
178,167
168,166
221,164
187,200
185,210
173,169
202,164
188,200
158,221
185,167
164,168
185,169
184,215
188,192
199,167
172,166
196,166
164,166
168,223
188,181
186,177
188,184
168,221
164,221
199,164
188,167
198,166
186,171
186,167
186,215
187,166
185,215
189,168
176,219
162,167
161,169
166,167
191,198
165,223
192,191
182,169
190,206
215,163
181,166
192,186
190,205
178,220
191,207
190,176
190,177
142,219
190,186
179,166
170,166
182,217
171,220
177,218
191,192
176,220
160,219
184,167
163,170
174,169
189,179
179,219
169,221
191,177
183,215
193,164
191,174
187,165
177,224
222,166
187,173
222,164
187,179
187,184
186,206
187,172
187,178
205,163
219,163
180,166
174,166
204,164
184,169
184,165
185,166
185,170
185,171
147,216
158,219
200,164
183,165
185,216
182,216
161,170
213,166
214,163
161,222
157,169
184,211
175,219
180,218
172,220
144,216
187,189
191,186
192,188
188,197
190,202
191,205
190,178
187,212
192,168
192,189
192,169
192,170
190,165
169,166
188,182
192,187
188,169
192,185
188,180
190,171
188,170
154,218
192,183
155,220
188,199
188,208
193,183
187,199
188,198
180,221
159,170
188,210
193,189
193,187
181,165
188,209
166,221
193,182
173,166
192,190
181,214
183,219
186,170
193,199
157,221
165,168
181,220
183,166
189,208
182,220
185,208
163,220
184,216
188,178
150,219
164,222
151,219
191,200
191,164
191,203
191,179
187,181
190,208
163,165
191,173
177,169
179,165
218,163
191,182
162,170
217,167
192,179
191,181
159,222
176,169
193,190
183,171
161,166
193,170
227,163
183,218
227,162
163,208
193,185
189,178
193,179
184,170
184,171
206,166
141,218
205,166
169,170
191,180
160,168
192,204
192,197
192,203
192,201
180,219
216,162
192,176
162,222
166,220
217,162
215,162
219,162
162,223
181,215
166,222
220,163
220,167
189,210
181,221
191,210
191,208
142,218
182,170
145,220
146,216
192,193
182,214
216,133
191,196
156,221
193,178
186,186
187,171
187,176
159,168
187,175
188,191
187,174
149,216
153,220
168,170
185,174
164,223
198,167
188,176
187,167
163,223
158,169
193,207
148,220
187,201
188,190
167,223
147,220
188,187
185,165
154,217
186,178
186,169
187,187
185,168
158,167
186,166
188,168
157,218
187,182
185,206
149,219
193,201
